t,E_tot,E_x,E_y,proj_bx
7.10000000e-01,4.30080103e-12,4.30052787e-12,2.73164111e-16,1.73952636e-10
7.20000000e-01,4.30080109e-12,4.30052018e-12,2.80912831e-16,1.76397848e-10
7.30000000e-01,4.30080115e-12,4.30051238e-12,2.88769911e-16,1.78842957e-10
7.40000000e-01,4.30080121e-12,4.30050447e-12,2.96735352e-16,1.81287966e-10
7.50000000e-01,4.30080127e-12,4.30049646e-12,3.04809152e-16,1.83732877e-10
7.60000000e-01,4.30080133e-12,4.30048834e-12,3.12991311e-16,1.86177692e-10
7.70000000e-01,4.30080140e-12,4.30048011e-12,3.21281829e-16,1.88622414e-10
7.80000000e-01,4.30080146e-12,4.30047178e-12,3.29680705e-16,1.91067046e-10
7.90000000e-01,4.30080153e-12,4.30046335e-12,3.38187938e-16,1.93511591e-10
8.00000000e-01,4.30080160e-12,4.30045480e-12,3.46803529e-16,1.95956050e-10
8.10000000e-01,4.30080168e-12,4.30044615e-12,3.55527476e-16,1.98400426e-10
8.20000000e-01,4.30080175e-12,4.30043739e-12,3.64359778e-16,2.00844721e-10
8.30000000e-01,4.30080183e-12,4.30042853e-12,3.73300436e-16,2.03288937e-10
8.40000000e-01,4.30080191e-12,4.30041956e-12,3.82349449e-16,2.05733077e-10
8.50000000e-01,4.30080199e-12,4.30041049e-12,3.91506815e-16,2.08177142e-10
8.60000000e-01,4.30080208e-12,4.30040130e-12,4.00772536e-16,2.10621134e-10
8.70000000e-01,4.30080216e-12,4.30039201e-12,4.10146609e-16,2.13065055e-10
8.80000000e-01,4.30080225e-12,4.30038262e-12,4.19629035e-16,2.15508906e-10
8.90000000e-01,4.30080234e-12,4.30037312e-12,4.29219812e-16,2.17952689e-10
9.00000000e-01,4.30080243e-12,4.30036351e-12,4.38918941e-16,2.20396405e-10
9.10000000e-01,4.30080252e-12,4.30035380e-12,4.48726420e-16,2.22840055e-10
9.20000000e-01,4.30080262e-12,4.30034398e-12,4.58642249e-16,2.25283640e-10
9.30000000e-01,4.30080272e-12,4.30033405e-12,4.68666428e-16,2.27727161e-10
9.40000000e-01,4.30080282e-12,4.30032402e-12,4.78798955e-16,2.30170619e-10
9.50000000e-01,4.30080292e-12,4.30031388e-12,4.89039831e-16,2.32614013e-10
9.60000000e-01,4.30080302e-12,4.30030363e-12,4.99389054e-16,2.35057345e-10
9.70000000e-01,4.30080313e-12,4.30029328e-12,5.09846624e-16,2.37500614e-10
9.80000000e-01,4.30080324e-12,4.30028282e-12,5.20412541e-16,2.39943820e-10
9.90000000e-01,4.30080335e-12,4.30027226e-12,5.31086803e-16,2.42386963e-10
1.00000000e+00,4.30080346e-12,4.30026159e-12,5.41869411e-16,2.44830042e-10
1.01000000e+00,4.30080357e-12,4.30025081e-12,5.52760363e-16,2.47273057e-10
1.02000000e+00,4.30080369e-12,4.30023993e-12,5.63759658e-16,2.49716007e-10
