t,E_tot,E_x,E_y,proj_bx
1.00000000e-02,4.30080000e-08,4.30079994e-08,5.41900797e-16,2.45404277e-10
2.00000000e-02,4.30080000e-08,4.30079978e-08,2.16760315e-15,4.90803030e-10
3.00000000e-02,4.30080000e-08,4.30079951e-08,4.87710693e-15,7.36195898e-10
4.00000000e-02,4.30080000e-08,4.30079913e-08,8.67041197e-15,9.81582553e-10
5.00000000e-02,4.30080000e-08,4.30079864e-08,1.35475180e-14,1.22696266e-09
6.00000000e-02,4.30080000e-08,4.30079805e-08,1.95084246e-14,1.47233590e-09
7.00000000e-02,4.30080000e-08,4.30079734e-08,2.65531314e-14,1.71770193e-09
8.00000000e-02,4.30080000e-08,4.30079653e-08,3.46816379e-14,1.96306040e-09
9.00000000e-02,4.30080000e-08,4.30079561e-08,4.38939435e-14,2.20841099e-09
1.00000000e-01,4.30080000e-08,4.30079458e-08,5.41900475e-14,2.45375336e-09
1.10000000e-01,4.30080000e-08,4.30079344e-08,6.55699493e-14,2.69908716e-09
1.20000000e-01,4.30080000e-08,4.30079220e-08,7.80336479e-14,2.94441206e-09
1.30000000e-01,4.30080000e-08,4.30079084e-08,9.15811426e-14,3.18972773e-09
1.40000000e-01,4.30080000e-08,4.30078938e-08,1.06212432e-13,3.43503382e-09
1.50000000e-01,4.30080000e-08,4.30078781e-08,1.21927516e-13,3.68033002e-09
1.60000000e-01,4.30080001e-08,4.30078613e-08,1.38726392e-13,3.92561600e-09
1.70000000e-01,4.30080001e-08,4.30078435e-08,1.56609060e-13,4.17089143e-09
1.80000000e-01,4.30080001e-08,4.30078245e-08,1.75575519e-13,4.41615600e-09
1.90000000e-01,4.30080001e-08,4.30078045e-08,1.95625767e-13,4.66140940e-09
2.00000000e-01,4.30080001e-08,4.30077833e-08,2.16759802e-13,4.90665132e-09
2.10000000e-01,4.30080001e-08,4.30077611e-08,2.38977623e-13,5.15188146e-09
2.20000000e-01,4.30080001e-08,4.30077379e-08,2.62279229e-13,5.39709954e-09
2.30000000e-01,4.30080002e-08,4.30077135e-08,2.86664617e-13,5.64230528e-09
2.40000000e-01,4.30080002e-08,4.30076881e-08,3.12133787e-13,5.88749840e-09
2.50000000e-01,4.30080002e-08,4.30076615e-08,3.38686736e-13,6.13267864e-09
2.60000000e-01,4.30080002e-08,4.30076339e-08,3.66323462e-13,6.37784575e-09
2.70000000e-01,4.30080003e-08,4.30076052e-08,3.95043964e-13,6.62299948e-09
2.80000000e-01,4.30080003e-08,4.30075755e-08,4.24848240e-13,6.86813961e-09
2.90000000e-01,4.30080004e-08,4.30075446e-08,4.55736286e-13,7.11326591e-09
3.00000000e-01,4.30080004e-08,4.30075127e-08,4.87708102e-13,7.35837819e-09
3.10000000e-01,4.30080004e-08,4.30074797e-08,5.20763685e-13,7.60347623e-09
3.20000000e-01,4.30080005e-08,4.30074456e-08,5.54903032e-13,7.84855988e-09
3.30000000e-01,4.30080006e-08,4.30074104e-08,5.90126142e-13,8.09362894e-09
3.40000000e-01,4.30080006e-08,4.30073742e-08,6.26433011e-13,8.33868328e-09
3.50000000e-01,4.30080007e-08,4.30073369e-08,6.63823638e-13,8.58372274e-09
3.60000000e-01,4.30080008e-08,4.30072985e-08,7.02298019e-13,8.82874721e-09
