t,E_tot,E_x,E_y,proj_bx
1.19800000e+01,8.47844466e-09,4.32479074e-12,8.47411987e-09,2.78540692e-09
1.19900000e+01,9.46739987e-09,4.32359611e-12,9.46307628e-09,2.78709619e-09
1.20000000e+01,1.05546315e-08,4.32185169e-12,1.05503097e-08,2.78899588e-09
1.20100000e+01,1.17200452e-08,4.31959051e-12,1.17157256e-08,2.79110780e-09
1.20200000e+01,1.29396938e-08,4.31685607e-12,1.29353769e-08,2.79343225e-09
1.20300000e+01,1.41864059e-08,4.31370112e-12,1.41820922e-08,2.79596792e-09
1.20400000e+01,1.54305783e-08,4.31018629e-12,1.54262681e-08,2.79871197e-09
1.20500000e+01,1.66411146e-08,4.30637839e-12,1.66368083e-08,2.80165993e-09
1.20600000e+01,1.77864866e-08,4.30234847e-12,1.77821843e-08,2.80480578e-09
1.20700000e+01,1.88358864e-08,4.29816979e-12,1.88315883e-08,2.80814192e-09
1.20800000e+01,1.97604345e-08,4.29391573e-12,1.97561406e-08,2.81165926e-09
1.20900000e+01,2.05344024e-08,4.28965758e-12,2.05301128e-08,2.81534722e-09
1.21000000e+01,2.11364064e-08,4.28546246e-12,2.11321209e-08,2.81919382e-09
1.21100000e+01,2.15505247e-08,4.28139139e-12,2.15462433e-08,2.82318577e-09
1.21200000e+01,2.17672939e-08,4.27749752e-12,2.17630164e-08,2.82730854e-09
1.21300000e+01,2.17845369e-08,4.27382464e-12,2.17802631e-08,2.83154648e-09
1.21400000e+01,2.16079812e-08,4.27040604e-12,2.16037108e-08,2.83588294e-09
1.21500000e+01,2.12516298e-08,4.26726371e-12,2.12473625e-08,2.84030039e-09
1.21600000e+01,2.07378533e-08,4.26440805e-12,2.07335889e-08,2.84478057e-09
1.21700000e+01,2.00971800e-08,4.26183788e-12,2.00929181e-08,2.84930463e-09
1.21800000e+01,1.93677709e-08,4.25954106e-12,1.93635113e-08,2.85385332e-09
1.21900000e+01,1.85945763e-08,4.25749545e-12,1.85903188e-08,2.85840711e-09
1.22000000e+01,1.78281833e-08,4.25567032e-12,1.78239276e-08,2.86294643e-09
1.22100000e+01,1.71233737e-08,4.25402814e-12,1.71191197e-08,2.86745178e-09
1.22200000e+01,1.65374274e-08,4.25252671e-12,1.65331748e-08,2.87190398e-09
1.22300000e+01,1.61282130e-08,4.25112148e-12,1.61239619e-08,2.87628430e-09
1.22400000e+01,1.59521245e-08,4.24976809e-12,1.59478748e-08,2.88057470e-09
1.22500000e+01,1.60619266e-08,4.24842494e-12,1.60576782e-08,2.88475796e-09
1.22600000e+01,1.65045834e-08,4.24705575e-12,1.65003364e-08,2.88881790e-09
1.22700000e+01,1.73191494e-08,4.24563191e-12,1.73149037e-08,2.89273956e-09
1.22800000e+01,1.85348045e-08,4.24413465e-12,1.85305604e-08,2.89650935e-09
1.22900000e+01,2.01691170e-08,4.24255681e-12,2.01648745e-08,2.90011522e-09
1.23000000e+01,2.22266135e-08,4.24090421e-12,2.22223726e-08,2.90354681e-09
1.23100000e+01,2.46977312e-08,4.23919640e-12,2.46934920e-08,2.90679562e-09
1.23200000e+01,2.75582186e-08,4.23746695e-12,2.75539812e-08,2.90985509e-09
1.23300000e+01,3.07690376e-08,4.23576299e-12,3.07648018e-08,2.91272074e-09
1.23400000e+01,3.42768064e-08,4.23414420e-12,3.42725723e-08,2.91539025e-09
1.23500000e+01,3.80148061e-08,4.23268107e-12,3.80105734e-08,2.91786358e-09
1.23600000e+01,4.19045518e-08,4.23145262e-12,4.19003203e-08,2.92014297e-09
1.23700000e+01,4.58579119e-08,4.23054355e-12,4.58536814e-08,2.92223300e-09
1.23800000e+01,4.97797351e-08,4.23004093e-12,4.97755051e-08,2.92414061e-09
1.23900000e+01,5.35709241e-08,4.23003055e-12,5.35666941e-08,2.92587511e-09
1.24000000e+01,5.71318743e-08,4.23059302e-12,5.71276437e-08,2.92744812e-09
1.24100000e+01,6.03661763e-08,4.23179991e-12,6.03619445e-08,2.92887351e-09
1.24200000e+01,6.31844638e-08,4.23370988e-12,6.31802301e-08,2.93016737e-09
1.24300000e+01,6.55082753e-08,4.23636513e-12,6.55040389e-08,2.93134785e-09
1.24400000e+01,6.72737878e-08,4.23978836e-12,6.72695480e-08,2.93243509e-09
1.24500000e+01,6.84352763e-08,4.24398025e-12,6.84310323e-08,2.93345103e-09
