# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.657133566977e-10       7.744933385330e-15       2.359706517734e-13       6.416573495965e-17       8.423818929672e-11       8.806651314735e-12      -7.372907835454e-15 
   41       1.682200508640e-10       8.410761750841e-15       2.265092711042e-13       6.741940854116e-17       8.006283124908e-11       8.402271596254e-12      -6.777495231699e-15 
   42       1.707454895731e-10       9.112247763911e-15       2.156479055960e-13       7.075486072283e-17       7.616614783620e-11       8.025686685422e-12      -6.429951815215e-15 
   43       1.732793866348e-10       9.849893134802e-15       2.034406073113e-13       7.417212891088e-17       7.250596565525e-11       7.674458522965e-12      -6.450224253854e-15 
   44       1.758264918014e-10       1.062430987750e-14       1.898419111115e-13       7.767124145534e-17       6.907658827685e-11       7.347750126678e-12      -6.789563310860e-15 
   45       1.783945455894e-10       1.143611753403e-14       1.747720033103e-13       8.125222026092e-17       6.587447028810e-11       7.044237543289e-12      -7.334335877492e-15 
   46       1.809895516607e-10       1.228590316192e-14       1.581411781201e-13       8.491508179995e-17       6.288455647744e-11       6.761250279811e-12      -7.944713273059e-15 
   47       1.836155688712e-10       1.317422008697e-14       1.398491483242e-13       8.865983713833e-17       6.007938478347e-11       6.494670501616e-12      -8.453136063054e-15 
   48       1.862747077803e-10       1.410153890720e-14       1.198038626359e-13       9.248648928301e-17       5.742752906890e-11       6.240125867423e-12      -8.710107326690e-15 
   49       1.889676042316e-10       1.506808708262e-14       9.798583866016e-14       9.639502428001e-17       5.492383481970e-11       5.997200850358e-12      -8.740418973055e-15 
   50       1.916927219857e-10       1.607396198502e-14       7.440078026324e-14       1.003854176516e-16       5.256616528472e-11       5.766239347724e-12      -8.628326095747e-15 
   51       1.944459672584e-10       1.711917110624e-14       4.906195259226e-14       1.044576367475e-16       5.034639561376e-11       5.547120747055e-12      -8.474921360011e-15 
   52       1.972204912014e-10       1.820362837489e-14       2.199048798637e-14       1.086116406345e-16       4.824999232817e-11       5.339225126078e-12      -8.399014537682e-15 
   53       2.000093545533e-10       1.932723447306e-14      -6.795440651169e-15       1.128473797292e-16       4.626057002562e-11       5.141716443440e-12      -8.506637674612e-15 
   54       2.028147806816e-10       2.049015051158e-14      -3.731707232563e-14       1.171647948409e-16       4.437590511494e-11       4.954557708144e-12      -8.788330015913e-15 
   55       2.056409376469e-10       2.169258830890e-14      -6.960744581164e-14       1.215638176899e-16       4.259530697603e-11       4.777696202199e-12      -9.196973536666e-15 
   56       2.084912085330e-10       2.293473239320e-14      -1.037012448290e-13       1.260443710234e-16       4.091479409100e-11       4.610747355419e-12      -9.676429254835e-15 
   57       2.113681139348e-10       2.421673984111e-14      -1.396349589046e-13       1.306063684939e-16       3.932688220379e-11       4.452973278347e-12      -1.016110127909e-14 
   58       2.142732344464e-10       2.553874011634e-14      -1.774470442343e-13       1.352497145376e-16       3.782037247976e-11       4.303261295157e-12      -1.057550085665e-14 
   59       2.172075291354e-10       2.690072612898e-14      -2.171668127955e-13       1.399743105573e-16       3.638343035281e-11       4.160426287093e-12      -1.085235154153e-14 
   60       2.201725533755e-10       2.830219823642e-14      -2.587777212143e-13       1.447800754211e-16       3.501413813739e-11       4.024248469963e-12      -1.099280470417e-14 
   61       2.231693873418e-10       2.974243713678e-14      -3.022458256292e-13       1.496669295180e-16       3.371202300467e-11       3.894639107762e-12      -1.101946222436e-14 
   62       2.261982021114e-10       3.122060160910e-14      -3.475300871284e-13       1.546347889625e-16       3.247488352336e-11       3.771327616114e-12      -1.095925353075e-14 
