# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.656181128725e-10       7.681221973993e-15       2.361613699706e-13       0.000000000000e+00       8.423818929672e-11       8.806651314735e-12      -7.372907835454e-15 
   41       1.681208012395e-10       8.343888074932e-15       2.267139475396e-13       0.000000000000e+00       8.006283124908e-11       8.402271596254e-12      -6.777495231699e-15 
   42       1.706421905479e-10       9.042142170517e-15       2.158669072660e-13       0.000000000000e+00       7.616614783620e-11       8.025686685422e-12      -6.429951815215e-15 
   43       1.731719980492e-10       9.776486900775e-15       2.036742551339e-13       0.000000000000e+00       7.250596565525e-11       7.674458522965e-12      -6.450224253854e-15 
   44       1.757149761017e-10       1.054753532038e-14       1.900904743717e-13       0.000000000000e+00       6.907658827685e-11       7.347750126678e-12      -6.789563310860e-15 
   45       1.782788675652e-10       1.135590808536e-14       1.750356939237e-13       0.000000000000e+00       6.587447028810e-11       7.044237543289e-12      -7.334335877492e-15 
   46       1.808696783997e-10       1.220219342677e-14       1.584201447034e-13       0.000000000000e+00       6.288455647744e-11       6.761250279811e-12      -7.944713273059e-15 
   47       1.834914697116e-10       1.308694590469e-14       1.401434700630e-13       0.000000000000e+00       6.007938478347e-11       6.494670501616e-12      -8.453136063054e-15 
   48       1.861463541067e-10       1.401063744813e-14       1.201135433665e-13       0.000000000000e+00       5.742752906890e-11       6.240125867423e-12      -8.710107326690e-15 
   49       1.888349687566e-10       1.497349706217e-14       9.831080213433e-14       0.000000000000e+00       5.492383481970e-11       5.997200850358e-12      -8.740418973055e-15 
   50       1.915557783965e-10       1.597562379540e-14       7.474086421670e-14       0.000000000000e+00       5.256616528472e-11       5.766239347724e-12      -8.628326095747e-15 
   51       1.943046899952e-10       1.701702691900e-14       4.941690225040e-14       0.000000000000e+00       5.034639561376e-11       5.547120747055e-12      -8.474921360011e-15 
   52       1.970748552252e-10       1.809762224636e-14       2.235994938938e-14       0.000000000000e+00       4.824999232817e-11       5.339225126078e-12      -8.399014537682e-15 
