t,E_tot,E_x,E_y,proj_bx,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,Tau_vx,Tau_vy,Tau_bx,Tau_by
2.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,5.64421576e-10,2.70195918e-15,-5.67413010e-14,0.00000000e+00,0.00000000e+00,2.42468723e-18,0.00000000e+00,-3.90287666e-18,0.00000000e+00,-3.31869297e-17,0.00000000e+00
2.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,5.88960956e-10,2.81943028e-15,-5.92081951e-14,0.00000000e+00,0.00000000e+00,2.63499789e-18,0.00000000e+00,-4.07338834e-18,0.00000000e+00,1.07010249e-18,0.00000000e+00
2.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,6.13500275e-10,2.93690083e-15,-6.16750769e-14,0.00000000e+00,0.00000000e+00,2.85364183e-18,0.00000000e+00,-4.24421750e-18,0.00000000e+00,-3.59618196e-17,0.00000000e+00
2.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,6.38039535e-10,3.05437082e-15,-6.41419461e-14,0.00000000e+00,0.00000000e+00,3.08057449e-18,0.00000000e+00,-4.41539359e-18,0.00000000e+00,1.17683140e-18,0.00000000e+00
2.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,6.62578733e-10,3.17184024e-15,-6.66088025e-14,0.00000000e+00,0.00000000e+00,3.31575192e-18,0.00000000e+00,-4.58694450e-18,0.00000000e+00,-3.87357564e-17,0.00000000e+00
2.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,6.87117870e-10,3.28930907e-15,-6.90756458e-14,0.00000000e+00,0.00000000e+00,3.55913081e-18,0.00000000e+00,-4.75889951e-18,0.00000000e+00,1.27404351e-18,0.00000000e+00
2.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,7.11656946e-10,3.40677730e-15,-7.15424757e-14,0.00000000e+00,0.00000000e+00,3.81066845e-18,0.00000000e+00,-4.93128607e-18,0.00000000e+00,-4.15122882e-17,0.00000000e+00
3.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,7.36195961e-10,3.52424493e-15,-7.40092920e-14,0.00000000e+00,0.00000000e+00,4.07032275e-18,0.00000000e+00,-5.10413327e-18,0.00000000e+00,1.35928273e-18,0.00000000e+00
3.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,7.60734913e-10,3.64171193e-15,-7.64760943e-14,0.00000000e+00,0.00000000e+00,4.33805222e-18,0.00000000e+00,-5.27746814e-18,0.00000000e+00,-4.42949232e-17,0.00000000e+00
3.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,7.85273803e-10,3.75917830e-15,-7.89428825e-14,0.00000000e+00,0.00000000e+00,4.61381600e-18,0.00000000e+00,-5.45131963e-18,0.00000000e+00,1.43012528e-18,0.00000000e+00
3.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,8.09812630e-10,3.87664403e-15,-8.14096562e-14,0.00000000e+00,0.00000000e+00,4.89757379e-18,0.00000000e+00,-5.62571433e-18,0.00000000e+00,-4.70871324e-17,0.00000000e+00
3.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,8.34351394e-10,3.99410910e-15,-8.38764152e-14,0.00000000e+00,0.00000000e+00,5.18928590e-18,0.00000000e+00,-5.80068107e-18,0.00000000e+00,1.48417643e-18,0.00000000e+00
3.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,8.58890095e-10,4.11157351e-15,-8.63431592e-14,0.00000000e+00,0.00000000e+00,5.48891322e-18,0.00000000e+00,-5.97624601e-18,0.00000000e+00,-4.98923530e-17,0.00000000e+00
3.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,8.83428732e-10,4.22903724e-15,-8.88098880e-14,0.00000000e+00,0.00000000e+00,5.79641721e-18,0.00000000e+00,-6.15243787e-18,0.00000000e+00,1.51906737e-18,0.00000000e+00
3.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,9.07967305e-10,4.34650028e-15,-9.12766013e-14,0.00000000e+00,0.00000000e+00,6.11175993e-18,0.00000000e+00,-6.32928239e-18,0.00000000e+00,-5.27139914e-17,0.00000000e+00
3.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,9.32505814e-10,4.46396262e-15,-9.37432988e-14,0.00000000e+00,0.00000000e+00,6.43490399e-18,0.00000000e+00,-6.50680819e-18,0.00000000e+00,1.53245204e-18,0.00000000e+00
3.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,9.57044259e-10,4.58142426e-15,-9.62099804e-14,0.00000000e+00,0.00000000e+00,6.76581256e-18,0.00000000e+00,-6.68504062e-18,0.00000000e+00,-5.55554264e-17,0.00000000e+00
4.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,9.81582638e-10,4.69888517e-15,-9.86766456e-14,0.00000000e+00,0.00000000e+00,7.10444938e-18,0.00000000e+00,-6.86400818e-18,0.00000000e+00,1.52200418e-18,0.00000000e+00
4.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.00612095e-09,4.81634535e-15,-1.01143294e-13,0.00000000e+00,0.00000000e+00,7.45077875e-18,0.00000000e+00,-7.04373587e-18,0.00000000e+00,-5.84200120e-17,0.00000000e+00
4.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.03065920e-09,4.93380478e-15,-1.03609926e-13,0.00000000e+00,0.00000000e+00,7.80476551e-18,0.00000000e+00,-7.22425207e-18,0.00000000e+00,1.48541425e-18,0.00000000e+00
4.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.05519738e-09,5.05126346e-15,-1.06076541e-13,0.00000000e+00,0.00000000e+00,8.16637504e-18,0.00000000e+00,-7.40558142e-18,0.00000000e+00,-6.13110803e-17,0.00000000e+00
4.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.07973550e-09,5.16872138e-15,-1.08543139e-13,0.00000000e+00,0.00000000e+00,8.53557328e-18,0.00000000e+00,-7.58775222e-18,0.00000000e+00,1.42038658e-18,0.00000000e+00
4.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.10427355e-09,5.28617853e-15,-1.11009719e-13,0.00000000e+00,0.00000000e+00,8.91232670e-18,0.00000000e+00,-7.77078875e-18,0.00000000e+00,-6.42319446e-17,0.00000000e+00
4.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.12881153e-09,5.40363489e-15,-1.13476282e-13,0.00000000e+00,0.00000000e+00,9.29660228e-18,0.00000000e+00,-7.95471925e-18,0.00000000e+00,1.32463647e-18,0.00000000e+00
4.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.15334945e-09,5.52109045e-15,-1.15942826e-13,0.00000000e+00,0.00000000e+00,9.68836757e-18,0.00000000e+00,-8.13956762e-18,0.00000000e+00,-6.71859021e-17,0.00000000e+00
4.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.17788729e-09,5.63854521e-15,-1.18409353e-13,0.00000000e+00,0.00000000e+00,1.00875906e-17,0.00000000e+00,-8.32536210e-18,0.00000000e+00,1.19588741e-18,0.00000000e+00
4.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.20242507e-09,5.75599915e-15,-1.20875861e-13,0.00000000e+00,0.00000000e+00,1.04942399e-17,0.00000000e+00,-8.51212617e-18,0.00000000e+00,-7.01762364e-17,0.00000000e+00
5.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.22696278e-09,5.87345226e-15,-1.23342350e-13,0.00000000e+00,0.00000000e+00,1.09082847e-17,0.00000000e+00,-8.69988808e-18,0.00000000e+00,1.03186834e-18,0.00000000e+00
5.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.25150043e-09,5.99090454e-15,-1.25808820e-13,0.00000000e+00,0.00000000e+00,1.13296944e-17,0.00000000e+00,-8.88867095e-18,0.00000000e+00,-7.32062204e-17,0.00000000e+00
5.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.27603800e-09,6.10835598e-15,-1.28275271e-13,0.00000000e+00,0.00000000e+00,1.17584393e-17,0.00000000e+00,-9.07850303e-18,0.00000000e+00,8.30310938e-19,0.00000000e+00
5.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.30057551e-09,6.22580656e-15,-1.30741703e-13,0.00000000e+00,0.00000000e+00,1.21944899e-17,0.00000000e+00,-9.26940705e-18,0.00000000e+00,-7.62791191e-17,0.00000000e+00
5.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.32511294e-09,6.34325627e-15,-1.33208115e-13,0.00000000e+00,0.00000000e+00,1.26378173e-17,0.00000000e+00,-9.46141132e-18,0.00000000e+00,5.88947064e-19,0.00000000e+00
5.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.34965031e-09,6.46070511e-15,-1.35674507e-13,0.00000000e+00,0.00000000e+00,1.30883931e-17,0.00000000e+00,-9.65453816e-18,0.00000000e+00,-7.93981917e-17,0.00000000e+00
5.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.37418760e-09,6.57815306e-15,-1.38140879e-13,0.00000000e+00,0.00000000e+00,1.35461894e-17,0.00000000e+00,-9.84881596e-18,0.00000000e+00,3.05506145e-19,0.00000000e+00
5.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.39872483e-09,6.69560012e-15,-1.40607231e-13,0.00000000e+00,0.00000000e+00,1.40111788e-17,0.00000000e+00,-1.00442667e-17,0.00000000e+00,-8.25666945e-17,0.00000000e+00
5.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.42326198e-09,6.81304627e-15,-1.43073562e-13,0.00000000e+00,0.00000000e+00,1.44833345e-17,0.00000000e+00,-1.02409187e-17,0.00000000e+00,-2.22872959e-20,0.00000000e+00
5.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.44779906e-09,6.93049151e-15,-1.45539873e-13,0.00000000e+00,0.00000000e+00,1.49626298e-17,0.00000000e+00,-1.04387936e-17,0.00000000e+00,-8.57878831e-17,0.00000000e+00
6.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.47233607e-09,7.04793583e-15,-1.48006162e-13,0.00000000e+00,0.00000000e+00,1.54490390e-17,0.00000000e+00,-1.06379200e-17,0.00000000e+00,-3.96716085e-19,0.00000000e+00
6.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.49687301e-09,7.16537921e-15,-1.50472431e-13,0.00000000e+00,0.00000000e+00,1.59425364e-17,0.00000000e+00,-1.08383190e-17,0.00000000e+00,-8.90650151e-17,0.00000000e+00
6.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.52140988e-09,7.28282166e-15,-1.52938678e-13,0.00000000e+00,0.00000000e+00,1.64430972e-17,0.00000000e+00,-1.10400193e-17,0.00000000e+00,-8.20072774e-19,0.00000000e+00
6.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.54594667e-09,7.40026315e-15,-1.55404903e-13,0.00000000e+00,0.00000000e+00,1.69506966e-17,0.00000000e+00,-1.12430416e-17,0.00000000e+00,-9.24013519e-17,0.00000000e+00
6.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.57048339e-09,7.51770369e-15,-1.57871107e-13,0.00000000e+00,0.00000000e+00,1.74653107e-17,0.00000000e+00,-1.14474148e-17,0.00000000e+00,-1.29466196e-18,0.00000000e+00
6.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.59502004e-09,7.63514326e-15,-1.60337288e-13,0.00000000e+00,0.00000000e+00,1.79869159e-17,0.00000000e+00,-1.16531593e-17,0.00000000e+00,-9.58001613e-17,0.00000000e+00
6.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.61955661e-09,7.75258185e-15,-1.62803448e-13,0.00000000e+00,0.00000000e+00,1.85154890e-17,0.00000000e+00,-1.18603039e-17,0.00000000e+00,-1.82280256e-18,0.00000000e+00
6.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.64409311e-09,7.87001945e-15,-1.65269585e-13,0.00000000e+00,0.00000000e+00,1.90510072e-17,0.00000000e+00,-1.20688688e-17,0.00000000e+00,-9.92647200e-17,0.00000000e+00
6.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.66862954e-09,7.98745606e-15,-1.67735699e-13,0.00000000e+00,0.00000000e+00,1.95934484e-17,0.00000000e+00,-1.22788829e-17,0.00000000e+00,-2.40682998e-18,0.00000000e+00
6.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.69316589e-09,8.10489167e-15,-1.70201790e-13,0.00000000e+00,0.00000000e+00,2.01427909e-17,0.00000000e+00,-1.24903660e-17,0.00000000e+00,-1.02798315e-16,0.00000000e+00
