t,E_tot,E_x,E_y,proj_bx,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,Tau_vx,Tau_vy,Tau_bx,Tau_by
2.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,5.64504929e-10,2.70239165e-15,-5.67502247e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-5.93702350e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,5.89048621e-10,2.81988694e-15,-5.92176258e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.37636119e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,6.13592313e-10,2.93738223e-15,-6.16850268e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-6.76217324e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,6.38136006e-10,3.05487751e-15,-6.41524278e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.06018234e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,6.62679698e-10,3.17237280e-15,-6.66198288e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-7.28188192e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,6.87223390e-10,3.28986808e-15,-6.90872298e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.53885618e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,7.11767083e-10,3.40736337e-15,-7.15546308e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-7.84717905e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,7.36310775e-10,3.52485865e-15,-7.40220317e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.04488275e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,7.60854467e-10,3.64235394e-15,-7.64894327e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-8.40791756e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,7.85398160e-10,3.75984922e-15,-7.89568337e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.76517389e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00
