t,E_tot,E_x,E_y,proj_bx,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,Tau_vx,Tau_vy,Tau_bx,Tau_by
2.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.12900985e-09,1.08095663e-14,-2.27000892e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.17809723e-09,1.12795474e-14,-2.36870495e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.22718462e-09,1.17495285e-14,-2.46740098e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.27627200e-09,1.22195096e-14,-2.56609701e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.32535938e-09,1.26894907e-14,-2.66479304e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.37444677e-09,1.31594717e-14,-2.76348907e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.42353415e-09,1.36294528e-14,-2.86218509e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.47262153e-09,1.40994339e-14,-2.96088112e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.52170891e-09,1.45694149e-14,-3.05957714e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.57079630e-09,1.50393960e-14,-3.15827316e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.61988368e-09,1.55093771e-14,-3.25696918e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.66897106e-09,1.59793581e-14,-3.35566520e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.71805844e-09,1.64493391e-14,-3.45436122e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.76714582e-09,1.69193202e-14,-3.55305723e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.81623321e-09,1.73893012e-14,-3.65175325e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.86532059e-09,1.78592822e-14,-3.75044926e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.91440797e-09,1.83292632e-14,-3.84914527e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.96349535e-09,1.87992442e-14,-3.94784128e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.01258273e-09,1.92692252e-14,-4.04653728e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.06167011e-09,1.97392061e-14,-4.14523329e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.11075749e-09,2.02091871e-14,-4.24392929e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.15984487e-09,2.06791681e-14,-4.34262529e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.20893225e-09,2.11491490e-14,-4.44132129e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.25801963e-09,2.16191300e-14,-4.54001729e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.30710701e-09,2.20891109e-14,-4.63871328e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.35619439e-09,2.25590918e-14,-4.73740928e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.40528176e-09,2.30290727e-14,-4.83610527e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.45436914e-09,2.34990536e-14,-4.93480126e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.50345652e-09,2.39690345e-14,-5.03349724e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.55254390e-09,2.44390154e-14,-5.13219323e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.60163128e-09,2.49089962e-14,-5.23088921e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.65071865e-09,2.53789771e-14,-5.32958519e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.69980603e-09,2.58489579e-14,-5.42828116e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.74889341e-09,2.63189388e-14,-5.52697714e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.79798078e-09,2.67889196e-14,-5.62567311e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.84706816e-09,2.72589004e-14,-5.72436908e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.89615553e-09,2.77288812e-14,-5.82306505e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.94524291e-09,2.81988620e-14,-5.92176101e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.99433028e-09,2.86688427e-14,-6.02045697e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.04341766e-09,2.91388235e-14,-6.11915293e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
