t,E_tot,E_x,E_y,E_weak,proj_bx,P_tau,W_tau,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,P_eta_left,P_eta_right,P_eta_total,Tau_vx,Tau_vy,Tau_bx,Tau_by
1.70000000e-02,4.30080000e-08,4.30080000e-08,1.54104198e-35,4.30079996e-08,4.17242763e-10,0.00000000e+00,0.00000000e+00,1.99741988e-15,-4.19458174e-14,-1.16271942e-41,6.97619262e-41,2.14781530e-21,3.71289305e-40,7.10240253e-27,-7.10237255e-27,-1.42047751e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.80000000e-02,4.30080000e-08,4.30080000e-08,1.93836042e-35,4.30079996e-08,4.41786454e-10,0.00000000e+00,0.00000000e+00,2.11491516e-15,-4.44132183e-14,-1.54932748e-41,9.29579992e-41,2.40793444e-21,4.67016675e-40,9.35645700e-27,-9.35642555e-27,-1.87128826e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.90000000e-02,4.30080000e-08,4.30080000e-08,2.40787804e-35,4.30079996e-08,4.66330145e-10,0.00000000e+00,0.00000000e+00,2.23241044e-15,-4.68806192e-14,-2.03242741e-41,1.21943482e-40,2.68291805e-21,5.80139209e-40,1.19776503e-26,-1.19776093e-26,-2.39552596e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e-02,4.30080000e-08,4.30080000e-08,2.95784404e-35,4.30079995e-08,4.90873836e-10,0.00000000e+00,0.00000000e+00,2.34990572e-15,-4.93480201e-14,-2.62903027e-41,1.57739022e-40,2.97276620e-21,7.12644403e-40,1.49917176e-26,-1.49916695e-26,-2.99833870e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.10000000e-02,4.30080000e-08,4.30080000e-08,3.59695353e-35,4.30079995e-08,5.15417527e-10,0.00000000e+00,0.00000000e+00,2.46740100e-15,-5.18154210e-14,-3.35803634e-41,2.01478615e-40,3.27747895e-21,8.66627182e-40,1.84243049e-26,-1.84242531e-26,-3.68485580e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.20000000e-02,4.30080000e-08,4.30080000e-08,4.33434753e-35,4.30079994e-08,5.39961218e-10,0.00000000e+00,0.00000000e+00,2.58489628e-15,-5.42828219e-14,-4.24033457e-41,2.54415575e-40,3.59705635e-21,1.04428990e-39,2.23011347e-26,-2.23010687e-26,-4.46022033e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.30000000e-02,4.30080000e-08,4.30080000e-08,5.17961296e-35,4.30079994e-08,5.64504909e-10,0.00000000e+00,0.00000000e+00,2.70239156e-15,-5.67502228e-14,-5.29890193e-41,3.17928500e-40,3.93149845e-21,1.24794234e-39,2.66478391e-26,-2.66477699e-26,-5.32956090e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.40000000e-02,4.30080000e-08,4.30080000e-08,6.14278263e-35,4.30079993e-08,5.89048600e-10,0.00000000e+00,0.00000000e+00,2.81988684e-15,-5.92176236e-14,-6.55890292e-41,3.93527230e-40,4.28080532e-21,1.48000172e-39,3.14901199e-26,-3.14900248e-26,-6.29801448e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.50000000e-02,4.30080000e-08,4.30080000e-08,7.23433528e-35,4.30079992e-08,6.13592290e-10,0.00000000e+00,0.00000000e+00,2.93738212e-15,-6.16850244e-14,-8.04778889e-41,4.82858821e-40,4.64497701e-21,1.74299267e-39,3.68535875e-26,-3.68534830e-26,-7.37070704e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.60000000e-02,4.30080000e-08,4.30080000e-08,8.46519552e-35,4.30079992e-08,6.38135981e-10,0.00000000e+00,0.00000000e+00,3.05487739e-15,-6.41524253e-14,-9.79539754e-41,5.87713502e-40,5.02401358e-21,2.03954727e-39,4.27639114e-26,-4.27637805e-26,-8.55276919e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.70000000e-02,4.30080000e-08,4.30080000e-08,9.84673389e-35,4.30079991e-08,6.62679671e-10,0.00000000e+00,0.00000000e+00,3.17237267e-15,-6.66198261e-14,-1.18340522e-40,7.10030643e-40,5.41791508e-21,2.37240500e-39,4.92466989e-26,-4.92465572e-26,-9.84932561e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.80000000e-02,4.30080000e-08,4.30080000e-08,1.13907668e-34,4.30079990e-08,6.87223361e-10,0.00000000e+00,0.00000000e+00,3.28986795e-15,-6.90872269e-14,-1.41986615e-40,8.51904721e-40,5.82668157e-21,2.74441280e-39,5.63276090e-26,-5.63274248e-26,-1.12655034e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.90000000e-02,4.30080000e-08,4.30080000e-08,1.31095566e-34,4.30079990e-08,7.11767052e-10,0.00000000e+00,0.00000000e+00,3.40736322e-15,-7.15546276e-14,-1.69268185e-40,1.01559128e-39,6.25031311e-21,3.15852501e-39,6.40322068e-26,-6.40320162e-26,-1.28064223e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-02,4.30080000e-08,4.30080000e-08,1.50158116e-34,4.30079989e-08,7.36310742e-10,0.00000000e+00,0.00000000e+00,3.52485849e-15,-7.40220284e-14,-2.00589001e-40,1.20351290e-39,6.68880975e-21,3.61780341e-39,7.23861656e-26,-7.23859042e-26,-1.44772070e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.10000000e-02,4.30080000e-08,4.30080000e-08,1.71226858e-34,4.30079988e-08,7.60854432e-10,0.00000000e+00,0.00000000e+00,3.64235377e-15,-7.64894291e-14,-2.36381666e-40,1.41826516e-39,7.14217156e-21,4.12541720e-39,8.14149753e-26,-8.14147293e-26,-1.62829705e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.20000000e-02,4.30080000e-08,4.30080000e-08,1.94437793e-34,4.30079988e-08,7.85398122e-10,0.00000000e+00,0.00000000e+00,3.75984904e-15,-7.89568299e-14,-2.77108612e-40,1.66262259e-39,7.61039858e-21,4.68464300e-39,9.11443670e-26,-9.11440392e-26,-1.82288406e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.30000000e-02,4.30080000e-08,4.30080000e-08,2.19931381e-34,4.30079987e-08,8.09941812e-10,0.00000000e+00,0.00000000e+00,3.87734431e-15,-8.14242306e-14,-3.23263091e-40,1.93954466e-39,8.09349087e-21,5.29886488e-39,1.01599762e-25,-1.01599446e-25,-2.03199208e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.40000000e-02,4.30080000e-08,4.30080000e-08,2.47852539e-34,4.30079986e-08,8.34485501e-10,0.00000000e+00,0.00000000e+00,3.99483958e-15,-8.38916313e-14,-3.75370169e-40,2.25218172e-39,8.59144850e-21,5.97157430e-39,1.12806879e-25,-1.12806489e-25,-2.25613368e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.50000000e-02,4.30080000e-08,4.30080000e-08,2.78350646e-34,4.30079985e-08,8.59029191e-10,0.00000000e+00,0.00000000e+00,4.11233485e-15,-8.63590319e-14,-4.33987724e-40,2.60388097e-39,9.10427151e-21,6.70637016e-39,1.24791148e-25,-1.24790767e-25,-2.49581915e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.60000000e-02,4.30080000e-08,4.30080000e-08,3.11579539e-34,4.30079984e-08,8.83572880e-10,0.00000000e+00,0.00000000e+00,4.22983012e-15,-8.88264326e-14,-4.99707436e-40,2.99819244e-39,9.63195996e-21,7.50695879e-39,1.37578276e-25,-1.37577789e-25,-2.75156064e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.70000000e-02,4.30080000e-08,4.30080000e-08,3.47697511e-34,4.30079984e-08,9.08116570e-10,0.00000000e+00,0.00000000e+00,4.34732539e-15,-9.12938332e-14,-5.73155781e-40,3.43887492e-39,1.01745139e-20,8.37715394e-39,1.51193643e-25,-1.51193168e-25,-3.02386811e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.80000000e-02,4.30080000e-08,4.30080000e-08,3.86867319e-34,4.30079983e-08,9.32660259e-10,0.00000000e+00,0.00000000e+00,4.46482066e-15,-9.37612339e-14,-6.54995027e-40,3.92990195e-39,1.07319334e-20,9.32087677e-39,1.65662981e-25,-1.65662370e-25,-3.31325351e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.90000000e-02,4.30080000e-08,4.30080000e-08,4.29256175e-34,4.30079982e-08,9.57203948e-10,0.00000000e+00,0.00000000e+00,4.58231593e-15,-9.62286345e-14,-7.45924226e-40,4.47546778e-39,1.13042185e-20,1.03421559e-38,1.81011593e-25,-1.81011025e-25,-3.62022617e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000000e-02,4.30080000e-08,4.30080000e-08,4.75035753e-34,4.30079981e-08,9.81747638e-10,0.00000000e+00,0.00000000e+00,4.69981119e-15,-9.86960350e-14,-8.46680208e-40,5.07999333e-39,1.18913693e-20,1.14451272e-38,1.97265274e-25,-1.97264531e-25,-3.94529805e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.10000000e-02,4.30080000e-08,4.30080000e-08,5.24382184e-34,4.30079980e-08,1.00629133e-09,0.00000000e+00,0.00000000e+00,4.81730646e-15,-1.01163436e-13,-9.58038578e-40,5.74813212e-39,1.24933858e-20,1.26340343e-38,2.14449261e-25,-2.14448584e-25,-4.28897845e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.20000000e-02,4.30080000e-08,4.30080000e-08,5.77476058e-34,4.30079979e-08,1.03083502e-09,0.00000000e+00,0.00000000e+00,4.93480172e-15,-1.03630836e-13,-1.08081470e-39,6.48477631e-39,1.31102681e-20,1.39132280e-38,2.32589360e-25,-2.32588503e-25,-4.65177863e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.30000000e-02,4.30080000e-08,4.30080000e-08,6.34502425e-34,4.30079978e-08,1.05537870e-09,0.00000000e+00,0.00000000e+00,5.05229699e-15,-1.06098237e-13,-1.21586471e-39,7.29506257e-39,1.37420162e-20,1.52871665e-38,2.51710762e-25,-2.51709958e-25,-5.03420720e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.40000000e-02,4.30080000e-08,4.30080000e-08,6.95650794e-34,4.30079977e-08,1.07992239e-09,0.00000000e+00,0.00000000e+00,5.16979225e-15,-1.08565637e-13,-1.36408649e-39,8.18437812e-39,1.43886303e-20,1.67604155e-38,2.71839324e-25,-2.71838358e-25,-5.43677682e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.50000000e-02,4.30080000e-08,4.30080000e-08,7.61115133e-34,4.30079976e-08,1.10446608e-09,0.00000000e+00,0.00000000e+00,5.28728751e-15,-1.11033038e-13,-1.52642066e-39,9.15836663e-39,1.50501102e-20,1.83376482e-38,2.93000151e-25,-2.92999205e-25,-5.85999356e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.60000000e-02,4.30080000e-08,4.30080000e-08,8.31093868e-34,4.30079975e-08,1.12900977e-09,0.00000000e+00,0.00000000e+00,5.40478277e-15,-1.13500438e-13,-1.70385159e-39,1.02229342e-38,1.57264562e-20,2.00236450e-38,3.15219171e-25,-3.15218049e-25,-6.30437221e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.70000000e-02,4.30080000e-08,4.30080000e-08,9.05789885e-34,4.30079974e-08,1.15355346e-09,0.00000000e+00,0.00000000e+00,5.52227803e-15,-1.15967839e-13,-1.89740840e-39,1.13842554e-38,1.64176682e-20,2.18232940e-38,3.38521382e-25,-3.38520281e-25,-6.77041664e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.80000000e-02,4.30080000e-08,4.30080000e-08,9.85410529e-34,4.30079972e-08,1.17809715e-09,0.00000000e+00,0.00000000e+00,5.63977329e-15,-1.18435239e-13,-2.10816590e-39,1.26487792e-38,1.71237464e-20,2.37415904e-38,3.62932743e-25,-3.62931473e-25,-7.25864215e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.90000000e-02,4.30080000e-08,4.30080000e-08,1.07016760e-33,4.30079971e-08,1.20264084e-09,0.00000000e+00,0.00000000e+00,5.75726854e-15,-1.20902639e-13,-2.33724565e-39,1.40232346e-38,1.78446907e-20,2.57836370e-38,3.88478305e-25,-3.88477025e-25,-7.76955331e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-02,4.30080000e-08,4.30080000e-08,1.16027737e-33,4.30079970e-08,1.22718452e-09,0.00000000e+00,0.00000000e+00,5.87476380e-15,-1.23370040e-13,-2.58581693e-39,1.55146372e-38,1.85805012e-20,2.79546441e-38,4.15183885e-25,-4.15182447e-25,-8.30366333e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.10000000e-02,4.30080000e-08,4.30080000e-08,1.25596055e-33,4.30079969e-08,1.25172821e-09,0.00000000e+00,0.00000000e+00,5.99225906e-15,-1.25837440e-13,-2.85509769e-39,1.71302948e-38,1.93311780e-20,3.02599292e-38,4.43074603e-25,-4.43073190e-25,-8.86147793e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.20000000e-02,4.30080000e-08,4.30080000e-08,1.35744233e-33,4.30079968e-08,1.27627190e-09,0.00000000e+00,0.00000000e+00,6.10975431e-15,-1.28304841e-13,-3.14635563e-39,1.88778132e-38,2.00967212e-20,3.27049173e-38,4.72176312e-25,-4.72174669e-25,-9.44350981e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.30000000e-02,4.30080000e-08,4.30080000e-08,1.46495235e-33,4.30079966e-08,1.30081559e-09,0.00000000e+00,0.00000000e+00,6.22724956e-15,-1.30772241e-13,-3.46090911e-39,2.07651027e-38,2.08771308e-20,3.52951410e-38,5.02514030e-25,-5.02512462e-25,-1.00502649e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.40000000e-02,4.30080000e-08,4.30080000e-08,1.57872470e-33,4.30079965e-08,1.32535927e-09,0.00000000e+00,0.00000000e+00,6.34474482e-15,-1.33239641e-13,-3.80012819e-39,2.28003834e-38,2.16724068e-20,3.80362400e-38,5.34113646e-25,-5.34111773e-25,-1.06822542e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.50000000e-02,4.30080000e-08,4.30080000e-08,1.69899794e-33,4.30079964e-08,1.34990296e-09,0.00000000e+00,0.00000000e+00,6.46224007e-15,-1.35707041e-13,-4.16543561e-39,2.49921916e-38,2.24825493e-20,4.09339615e-38,5.67000164e-25,-5.66998367e-25,-1.13399853e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.60000000e-02,4.30080000e-08,4.30080000e-08,1.82601509e-33,4.30079963e-08,1.37444665e-09,0.00000000e+00,0.00000000e+00,6.57973532e-15,-1.38174442e-13,-4.55830780e-39,2.73493858e-38,2.33075584e-20,4.39941603e-38,6.01199476e-25,-6.01197375e-25,-1.20239685e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
