t,E_tot,E_x,E_y,proj_bx
3.55000000e-01,4.30080007e-12,4.30073178e-12,6.82925360e-17,8.70623698e-11
3.60000000e-01,4.30080008e-12,4.30072985e-12,7.02298020e-17,8.82874734e-11
3.65000000e-01,4.30080008e-12,4.30072789e-12,7.21941617e-17,8.95125391e-11
3.70000000e-01,4.30080008e-12,4.30072590e-12,7.41856153e-17,9.07375670e-11
3.75000000e-01,4.30080009e-12,4.30072388e-12,7.62041625e-17,9.19625569e-11
3.80000000e-01,4.30080009e-12,4.30072184e-12,7.82498035e-17,9.31875086e-11
3.85000000e-01,4.30080010e-12,4.30071978e-12,8.03225381e-17,9.44124221e-11
3.90000000e-01,4.30080010e-12,4.30071768e-12,8.24223664e-17,9.56372973e-11
3.95000000e-01,4.30080011e-12,4.30071556e-12,8.45492882e-17,9.68621342e-11
4.00000000e-01,4.30080011e-12,4.30071341e-12,8.67033036e-17,9.80869326e-11
4.05000000e-01,4.30080012e-12,4.30071123e-12,8.88844124e-17,9.93116925e-11
4.10000000e-01,4.30080012e-12,4.30070903e-12,9.10926148e-17,1.00536414e-10
4.15000000e-01,4.30080013e-12,4.30070680e-12,9.33279106e-17,1.01761097e-10
4.20000000e-01,4.30080014e-12,4.30070455e-12,9.55902998e-17,1.02985741e-10
4.25000000e-01,4.30080014e-12,4.30070226e-12,9.78797824e-17,1.04210346e-10
4.30000000e-01,4.30080015e-12,4.30069995e-12,1.00196358e-16,1.05434913e-10
4.35000000e-01,4.30080015e-12,4.30069761e-12,1.02540027e-16,1.06659441e-10
4.40000000e-01,4.30080016e-12,4.30069525e-12,1.04910790e-16,1.07883931e-10
4.45000000e-01,4.30080017e-12,4.30069286e-12,1.07308645e-16,1.09108381e-10
4.50000000e-01,4.30080018e-12,4.30069044e-12,1.09733594e-16,1.10332794e-10
4.55000000e-01,4.30080018e-12,4.30068800e-12,1.12185636e-16,1.11557167e-10
4.60000000e-01,4.30080019e-12,4.30068553e-12,1.14664771e-16,1.12781503e-10
4.65000000e-01,4.30080020e-12,4.30068303e-12,1.17170999e-16,1.14005799e-10
4.70000000e-01,4.30080021e-12,4.30068050e-12,1.19704320e-16,1.15230058e-10
4.75000000e-01,4.30080022e-12,4.30067795e-12,1.22264734e-16,1.16454278e-10
4.80000000e-01,4.30080023e-12,4.30067537e-12,1.24852240e-16,1.17678459e-10
4.85000000e-01,4.30080024e-12,4.30067277e-12,1.27466840e-16,1.18902603e-10
4.90000000e-01,4.30080025e-12,4.30067014e-12,1.30108532e-16,1.20126709e-10
4.95000000e-01,4.30080026e-12,4.30066748e-12,1.32777318e-16,1.21350776e-10
5.00000000e-01,4.30080027e-12,4.30066479e-12,1.35473195e-16,1.22574806e-10
5.05000000e-01,4.30080028e-12,4.30066208e-12,1.38196166e-16,1.23798798e-10
5.10000000e-01,4.30080029e-12,4.30065934e-12,1.40946229e-16,1.25022753e-10
5.15000000e-01,4.30080030e-12,4.30065657e-12,1.43723385e-16,1.26246670e-10
5.20000000e-01,4.30080031e-12,4.30065378e-12,1.46527633e-16,1.27470550e-10
5.25000000e-01,4.30080032e-12,4.30065096e-12,1.49358974e-16,1.28694393e-10
5.30000000e-01,4.30080033e-12,4.30064812e-12,1.52217407e-16,1.29918199e-10
5.35000000e-01,4.30080035e-12,4.30064524e-12,1.55102933e-16,1.31141968e-10
5.40000000e-01,4.30080036e-12,4.30064234e-12,1.58015551e-16,1.32365701e-10
5.45000000e-01,4.30080037e-12,4.30063942e-12,1.60955261e-16,1.33589397e-10
5.50000000e-01,4.30080038e-12,4.30063646e-12,1.63922063e-16,1.34813057e-10
5.55000000e-01,4.30080040e-12,4.30063348e-12,1.66915958e-16,1.36036681e-10
5.60000000e-01,4.30080041e-12,4.30063048e-12,1.69936945e-16,1.37260270e-10
5.65000000e-01,4.30080043e-12,4.30062744e-12,1.72985024e-16,1.38483823e-10
5.70000000e-01,4.30080044e-12,4.30062438e-12,1.76060194e-16,1.39707341e-10
5.75000000e-01,4.30080046e-12,4.30062130e-12,1.79162457e-16,1.40930823e-10
5.80000000e-01,4.30080047e-12,4.30061818e-12,1.82291812e-16,1.42154271e-10
5.85000000e-01,4.30080049e-12,4.30061504e-12,1.85448258e-16,1.43377685e-10
5.90000000e-01,4.30080051e-12,4.30061187e-12,1.88631797e-16,1.44601064e-10
5.95000000e-01,4.30080052e-12,4.30060868e-12,1.91842427e-16,1.45824409e-10
6.00000000e-01,4.30080054e-12,4.30060546e-12,1.95080149e-16,1.47047720e-10
6.05000000e-01,4.30080056e-12,4.30060221e-12,1.98344962e-16,1.48270998e-10
6.10000000e-01,4.30080058e-12,4.30059894e-12,2.01636867e-16,1.49494243e-10
6.15000000e-01,4.30080060e-12,4.30059564e-12,2.04955864e-16,1.50717455e-10
6.20000000e-01,4.30080061e-12,4.30059231e-12,2.08301952e-16,1.51940634e-10
6.25000000e-01,4.30080063e-12,4.30058896e-12,2.11675131e-16,1.53163781e-10
6.30000000e-01,4.30080065e-12,4.30058558e-12,2.15075402e-16,1.54386895e-10
6.35000000e-01,4.30080067e-12,4.30058217e-12,2.18502764e-16,1.55609979e-10
6.40000000e-01,4.30080069e-12,4.30057874e-12,2.21957218e-16,1.56833030e-10
