t,E_tot,E_x,E_y,proj_bx
5.00000000e-01,4.30080027e-08,4.30066479e-08,1.35473195e-12,1.22574789e-08
1.00000000e+00,4.30080346e-08,4.30026159e-08,5.41869412e-12,2.44830094e-08
1.50000000e+00,4.30081325e-08,4.29959413e-08,1.21912323e-11,3.66842353e-08
2.00000000e+00,4.30084260e-08,4.29867546e-08,2.16713661e-11,4.88355294e-08
