t,E_tot,E_x,E_y,E_weak,proj_bx,P_tau,W_tau,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,Tau_vx,Tau_vy,Tau_bx,Tau_by
2.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079995e-08,4.90873836e-10,0.00000000e+00,0.00000000e+00,2.34990572e-15,-4.93480201e-14,0.00000000e+00,0.00000000e+00,2.97268936e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079995e-08,5.15417527e-10,0.00000000e+00,0.00000000e+00,2.46740100e-15,-5.18154210e-14,0.00000000e+00,0.00000000e+00,3.27739001e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079994e-08,5.39961218e-10,0.00000000e+00,0.00000000e+00,2.58489628e-15,-5.42828219e-14,0.00000000e+00,0.00000000e+00,3.59695410e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079994e-08,5.64504909e-10,0.00000000e+00,0.00000000e+00,2.70239156e-15,-5.67502228e-14,0.00000000e+00,0.00000000e+00,3.93138164e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079993e-08,5.89048600e-10,0.00000000e+00,0.00000000e+00,2.81988684e-15,-5.92176236e-14,0.00000000e+00,0.00000000e+00,4.28067262e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079992e-08,6.13592290e-10,0.00000000e+00,0.00000000e+00,2.93738212e-15,-6.16850244e-14,0.00000000e+00,0.00000000e+00,4.64482705e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079992e-08,6.38135981e-10,0.00000000e+00,0.00000000e+00,3.05487739e-15,-6.41524253e-14,0.00000000e+00,0.00000000e+00,5.02384492e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079991e-08,6.62679671e-10,0.00000000e+00,0.00000000e+00,3.17237267e-15,-6.66198261e-14,0.00000000e+00,0.00000000e+00,5.41772623e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079990e-08,6.87223361e-10,0.00000000e+00,0.00000000e+00,3.28986795e-15,-6.90872269e-14,0.00000000e+00,0.00000000e+00,5.82647099e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079990e-08,7.11767052e-10,0.00000000e+00,0.00000000e+00,3.40736322e-15,-7.15546276e-14,0.00000000e+00,0.00000000e+00,6.25007919e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079989e-08,7.36310742e-10,0.00000000e+00,0.00000000e+00,3.52485849e-15,-7.40220284e-14,0.00000000e+00,0.00000000e+00,6.68855083e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079988e-08,7.60854432e-10,0.00000000e+00,0.00000000e+00,3.64235377e-15,-7.64894291e-14,0.00000000e+00,0.00000000e+00,7.14188592e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079988e-08,7.85398122e-10,0.00000000e+00,0.00000000e+00,3.75984904e-15,-7.89568299e-14,0.00000000e+00,0.00000000e+00,7.61008445e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079987e-08,8.09941812e-10,0.00000000e+00,0.00000000e+00,3.87734431e-15,-8.14242306e-14,0.00000000e+00,0.00000000e+00,8.09314642e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079986e-08,8.34485501e-10,0.00000000e+00,0.00000000e+00,3.99483958e-15,-8.38916313e-14,0.00000000e+00,0.00000000e+00,8.59107184e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079985e-08,8.59029191e-10,0.00000000e+00,0.00000000e+00,4.11233485e-15,-8.63590319e-14,0.00000000e+00,0.00000000e+00,9.10386070e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
