t,E_tot,E_x,E_y,proj_bx,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,P_eta_left,P_eta_right,P_eta_total,Tau_vx,Tau_vy,Tau_bx,Tau_by
1.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,9.32660270e-10,8.92964142e-15,-1.87522470e-13,0.00000000e+00,0.00000000e+00,1.71702530e-20,0.00000000e+00,1.04383401e-33,8.93645676e-23,8.93645676e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,9.81747649e-10,9.39962250e-15,-1.97392072e-13,0.00000000e+00,0.00000000e+00,1.90252110e-20,0.00000000e+00,1.25889376e-33,9.90189108e-23,9.90189108e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.03083503e-09,9.86960357e-15,-2.07261675e-13,0.00000000e+00,0.00000000e+00,2.09752950e-20,0.00000000e+00,1.46765639e-33,1.09168349e-22,1.09168349e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.07992241e-09,1.03395846e-14,-2.17131277e-13,0.00000000e+00,0.00000000e+00,2.30205050e-20,0.00000000e+00,1.67673237e-33,1.19812881e-22,1.19812881e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.12900979e-09,1.08095657e-14,-2.27000879e-13,0.00000000e+00,0.00000000e+00,2.51608410e-20,0.00000000e+00,1.98264402e-33,1.30952507e-22,1.30952507e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.17809716e-09,1.12795467e-14,-2.36870481e-13,0.00000000e+00,0.00000000e+00,2.73963031e-20,0.00000000e+00,2.23109088e-33,1.42587228e-22,1.42587228e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.22718454e-09,1.17495278e-14,-2.46740083e-13,0.00000000e+00,0.00000000e+00,2.97268912e-20,0.00000000e+00,2.55986777e-33,1.54717043e-22,1.54717043e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.27627192e-09,1.22195088e-14,-2.56609685e-13,0.00000000e+00,0.00000000e+00,3.21526053e-20,0.00000000e+00,2.88975886e-33,1.67341953e-22,1.67341953e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.32535930e-09,1.26894898e-14,-2.66479287e-13,0.00000000e+00,0.00000000e+00,3.46734454e-20,0.00000000e+00,3.25116310e-33,1.80461957e-22,1.80461957e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.37444667e-09,1.31594709e-14,-2.76348888e-13,0.00000000e+00,0.00000000e+00,3.72894115e-20,0.00000000e+00,3.59672040e-33,1.94077055e-22,1.94077055e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
